场站名称,省份,市区,区/县,详细地址,负责人,设备MAC地址,设备ICCID,设备场站序号,vpnIP,产品型号
腾跃新能源马家滩镇西三村充电站,宁夏回族自治区,银川市,灵武市,滩羊小镇吴二餐厅东100米,解洪宽,32:0e:20:3c:4b:a9," 898608331924D0853932",2号桩,168.55.5.14,320kw
腾跃新能源马家滩镇西三村充电站,宁夏回族自治区,银川市,灵武市,滩羊小镇吴二餐厅东100米,解洪宽,c6:92:26:ff:6c:2a," 898608331924D0854203",3号桩,168.55.5.171,320kw
腾跃新能源马家滩镇西三村充电站,宁夏回族自治区,银川市,灵武市,滩羊小镇吴二餐厅东100米,解洪宽,82:cd:d5:00:06:9b," 898608331924D0858346",4号桩,168.55.5.124,320kw
腾跃新能源马家滩镇西三村充电站,宁夏回族自治区,银川市,灵武市,滩羊小镇吴二餐厅东100米,解洪宽,3e:4f:13:b5:2a:6c," 898608331924D0853931",5号桩,168.55.2.191,320kw
腾跃新能源马家滩镇西三村充电站,宁夏回族自治区,银川市,灵武市,滩羊小镇吴二餐厅东100米,解洪宽,8e:19:ad:b8:8f:1e," 898608331924D0853934",6号桩,168.55.4.165,320kw
腾跃新能源马家滩镇西三村充电站,宁夏回族自治区,银川市,灵武市,滩羊小镇吴二餐厅东100米,解洪宽,ea:4c:bc:f8:30:e0," 898608331924D0858349",7号桩,168.55.3.104,320kw
腾跃新能源马家滩镇西三村充电站,宁夏回族自治区,银川市,灵武市,滩羊小镇吴二餐厅东100米,解洪宽,22:84:69:d5:32:db," 898608331924D0854197",9号桩,168.55.1.20,320kw
腾跃新能源马家滩镇西三村充电站,宁夏回族自治区,银川市,灵武市,滩羊小镇吴二餐厅东100米,解洪宽,a6:20:3c:7f:e1:33," 898608411924D1249461",12号桩,168.55.1.16,320kw
中安共创河南郑州上街润豪酒店充电站,河南省,郑州市,上街区,济源路15号润豪精品时尚酒店,姬铭阳,b2:3d:34:ff:d3:8c," 89860440192390023400",1号桩,168.55.0.245,160kw/1-4
重庆科斯特医疗科技有限公司,重庆市,市辖区,合川区,重庆市合川区南津街街道合川工业园区核心区标准厂房B7栋1楼,鲜游,8a:4d:80:0f:89:60," 898608331924D0854519",1号桩,168.55.5.249,120kw
公牛青岛市西海岸新区唐家庄站,山东省,青岛市,黄岛区,西海岸新区唐家庄,王祥宇,46:39:1c:e3:ee:a7," 898608331924D0856387",1号桩,168.55.4.17,160kw/1-4
甘肃永昌恒永矿业充电站,甘肃省,金昌市,永昌县,恒永矿业,陈为,ca:59:91:01:cd:6f," 898608331924D0854886",1号桩,168.55.3.67,320kw
黄榜岭西三路充电站,广东省,广州市,白云区,人和镇黄榜岭西二路广东领食善食品有限公司,潘源森,8e:d5:a4:f6:cd:29," 898608331924D0854396",1号桩,168.55.3.25,160kw/1-4
丽伟新能源汽车充电站,浙江省,丽水市,松阳县,丽伟新能源汽车充电站,谢小刚,c6:c4:af:1c:b0:09," 898608331924D0856172",1号桩,168.55.5.240,160kw/1-4
山西晋中软云能源(锦贤名苑充电站),山西省,晋中市,太谷区,南山南路福星苑东南侧约90米,王文忠,9e:1f:9c:3f:f1:74," 89860440192390023404",1号桩,168.55.0.228,160kw/1-4
工商联大街站-羊三木,河北省,沧州市,黄骅市,黄骅市腾达金属制品有限公司东侧60米,张立波,ea:57:b1:6c:a9:e4," 898604F7192392293697",1号桩,168.55.2.9,160kw/1-4
零碳充电站/黄山宏村站,安徽省,黄山市,黟县,宏村归心客栈G530与Y067交叉口东北方向430米左右,周超,a6:c7:e3:54:8a:ac," 89860440192390023736",1号桩,168.55.4.68,160kw/1-4
桥顺超市充电站,广西壮族自治区,柳州市,鹿寨县,寨沙镇323国道地面停车场,蓝汝唯,9e:1f:9c:3f:f1:74," 89860440192390023404",1号桩,168.55.0.228,160kw/1-4
保定星之特充电站,河北省,保定市,莲池区,保定威之龙充电站,张立波,02:c6:2b:83:eb:31," 898604251024C0012828",1号桩,168.55.6.18,160kw/1-4
领充充电站,甘肃省,庆阳市,宁县,和盛镇金熙新能源,赵家良,de:62:8e:19:31:4f," 898607B11924C0335498",0号桩,168.55.5.81,160kw/1-4
甘南藏族自治州寺上东南,甘肃省,甘南藏族自治州,卓尼县,寺上东南,,c6:33:d2:c3:3c:30," 898608331924D0855915",1号桩,168.55.1.143,320kw
云南红河石屏瑞丰充电站,云南省,红河哈尼族彝族自治州,石屏县,屏阳路石屏县人民政府,陆振生,3a:be:ad:35:5a:d4," 898608331924D0854140",1号桩,168.55.1.214,160kw/1-4
亳州市新张集乡陶岗公牛小桔充电站,安徽省,亳州市,利辛县,安徽省亳州市利辛县S245（凤阳珍珠水泥直销店）,周超,12:b2:e9:a7:ca:cd," 898607B11924C0335470",1号桩,168.55.3.168,160kw/1-4
淮北健琳南坪公牛充电站,安徽省,淮北市,濉溪县,南坪镇任圩村委会东100米,周超,96:17:27:5a:56:55," 898604F7192392293404",1号桩,168.55.1.86,160kw/1-4
肇庆大旺钜益站（公牛）充电站,广东省,肇庆市,四会市,大旺高新开发区万洋,潘显扬,42:40:fc:b5:63:96," 898608331924D0856102",1号桩,168.55.0.231,160kw/1-4
华晟节能充电站,宁夏回族自治区,银川市,金凤区,宁夏回族自治区银川市金凤区华洋砼业东南100米,赵家良,b2:b3:4c:d7:f6:b6," 898604F7192392293730",1号桩,168.55.5.163,400kw
华晟节能充电站,宁夏回族自治区,银川市,金凤区,宁夏回族自治区银川市金凤区华洋砼业东南100米,赵家良,3a:a8:f0:d9:3f:1f," 898608331924D0857508",2号桩,168.55.0.183,400kw
华晟节能充电站,宁夏回族自治区,银川市,金凤区,宁夏回族自治区银川市金凤区华洋砼业东南100米,赵家良,2e:0c:cb:a9:1c:9a," 898608331924D0857506",3号桩,168.55.1.113,400kw
山东省滨州市高新技术产业开发区李家百惠超市充电站,山东省,滨州市,,李家百惠超市,王祥宇,7a:b4:ff:26:f8:66," 898608331924D0854336",1号桩,168.55.5.201,160kw/1-4
九峰面馆充电站,陕西省,西安市,周至县,九峰镇尚九路与安寨路交叉口,李一睿,be:30:31:59:9c:54," 898608331924D0854027",1号桩,168.55.3.44,120kw
河南新乡心连心大道渤海物流园充电站,河南省,新乡市,红旗区,南环心连心大道渤海物流园,姬铭阳,4e:25:4d:a5:b2:99," 898604F7192392295941",1号桩,168.55.3.188,320kw
河南新乡心连心大道渤海物流园充电站,河南省,新乡市,红旗区,南环心连心大道渤海物流园,姬铭阳,66:12:95:d5:ab:b5," 898604F7192392295815",2号桩,168.55.3.111,320kw
